#id sdkAdded compatAdded codepoints
F02FC 19 1 1F6C5
F02FD 19 1 1F6C4
F02FE 19 1 1F251
F02FF 19 1 1F250
F0300 19 1 1F69E
F0301 19 1 1F420
F0302 19 1 1F421
F0303 19 1 1F422
F0304 19 1 1F423
F0305 19 1 23EC
F0306 19 1 23EB
F0307 19 1 23EA
F0308 19 1 1F427
F0309 19 1 1F428
F030A 19 1 1F429
F030B 19 1 1F38A
F030C 19 1 1F4D8
F030D 19 1 1F4D9
F030E 19 1 1F4D2
F030F 19 1 1F4D3
F0310 19 1 1F4D0
F0311 19 1 1F4D1
F0312 19 1 1F4D6
F0313 19 1 1F38C
F0314 19 1 1F4D4
F0315 19 1 1F4D5
F0316 19 1 1F337
F0317 19 1 1F330
F0318 19 1 1F43C
F0319 19 1 1F331
F031A 19 1 1F3EF
F031B 19 1 1F42B
F031C 19 1 1F42C
F031D 19 1 1F42D
F031E 19 1 1F42E
F031F 19 1 1F42F
F0320 19 1 1F333
F0321 19 1 1F3ED
F0322 19 1 23E9
F0323 19 1 267F
F0324 19 1 1F3EE
F0325 19 1 267B
F0326 19 1 1F43B
F0327 19 1 1F3EB
F0328 19 1 1F3EC
F0329 19 1 1F338
F032A 19 1 1F3EA
F032B 19 1 1F4D7
F032C 19 1 1F3A7
F032D 19 1 1F4DB
F032E 19 1 1F4DC
F032F 19 1 1F4DA
F0330 19 1 1F4DF
F0331 19 1 1F4DD
F0332 19 1 1F4DE
F0333 20 1 34
F0334 20 1 26AB
F0335 20 1 26AA
F0336 20 1 30
F0337 20 1 2708
F0338 20 1 2709
F0339 20 1 2702
F033A 20 1 270F
F033B 20 1 2665
F033C 20 1 25AB
F033D 20 1 32
F033E 20 1 2666
F033F 20 1 2663
F0340 20 1 39
F0341 20 1 2195
F0342 20 1 2744
F0343 20 1 2747
F0344 20 1 36
F0345 20 1 2935
F0346 20 1 2934
F0347 20 1 24C2
F0348 20 1 2194
F0349 20 1 27A1
F034A 20 1 2733
F034B 20 1 2734
F034C 20 1 31
F034D 20 1 2600
F034E 20 1 260E
F034F 20 1 25C0
F0350 20 1 2660
F0351 20 1 3297
F0352 20 1 203C
F0353 20 1 3299
F0354 20 1 2B05
F0355 20 1 2B07
F0356 20 1 2B06
F0357 20 1 23
F0358 20 1 38
F0359 20 1 2196
F035A 20 1 2139
F035B 20 1 33
F035C 20 1 2049
F035D 20 1 2668
F035E 20 1 37
F035F 20 1 21AA
F0360 20 1 25B6
F0361 20 1 21A9
F0362 20 1 2764
F0363 20 1 35
F0364 20 1 2B1B
F0365 20 1 2B1C
F0366 20 1 2716
F0367 20 1 2714
F0368 20 1 2712
F0369 20 1 25AA
F036A 20 1 25FB
F036B 20 1 25FC
F036C 20 1 25FD
F036D 20 1 25FE
F036E 20 1 2197
F036F 20 1 2757
F0370 20 1 2B50
F0371 20 1 2B55
F0372 20 1 2199
F0373 20 1 2198
F0374 20 1 38 20E3
F0375 20 1 35 20E3
F0376 20 1 34 20E3
F0377 20 1 39 20E3
F0378 20 1 23 20E3
F0379 20 1 31 20E3
F037A 20 1 37 20E3
F037B 20 1 36 20E3
F037C 20 1 33 20E3
F037D 20 1 32 20E3
F037E 20 1 1F1E6 1F1E9
F037F 20 1 1F1E6 1F1EA
F0380 20 1 1F1E6 1F1EB
F0381 20 1 1F1E6 1F1EC
F0382 20 1 1F1E6 1F1EE
F0383 20 1 1F1E6 1F1F1
F0384 20 1 1F1E6 1F1F2
F0385 20 1 1F1E6 1F1F4
F0386 20 1 1F1E6 1F1F7
F0387 20 1 1F1E6 1F1F8
F0388 20 1 1F1E6 1F1F9
F0389 20 1 1F1E6 1F1FA
F038A 20 1 1F1E6 1F1FC
F038B 20 1 1F1E6 1F1FD
F038C 20 1 1F1E6 1F1FF
F038D 20 1 1F1E7 1F1E6
F038E 20 1 1F1E7 1F1E7
F038F 20 1 1F1E7 1F1E9
F0390 20 1 1F1E7 1F1EA
F0391 20 1 1F1E7 1F1EB
F0392 20 1 1F1E7 1F1EC
F0393 20 1 1F1E7 1F1ED
F0394 20 1 1F1E7 1F1EE
